주차장명,주차면수,운영시간,당일최고요금,주차요금,주소,전화번호,위도,경도
이중본 뒤,33면,24시간,무료,무료,전주시 완산구 산월1길 10,063-239-2767~69,35.8131140,127.1217442
모악산,56면,24시간,무료,무료,전주시 완산구 중인1길 254,063-239-2767~69,35.7582026,127.0867541
효천지구 제3주차장,11면,24시간,무료,무료,전주시 완산구 효자동2가 1374-4,063-239-2767~69,35.8068278,127.0993165
신일강변 아파트 옆,30면,24시간,무료,무료,전주시 완산구 삼천동1가 723-4,063-239-2767~69,35.7975799,127.1220233
태평동,7면,24시간,무료,무료,전주시 완산구 태진로 17,063-239-2767~69,35.8233303,127.1373093
근영여고 앞,45면,24시간,무료,무료,전주시 완산구 백제대로 270,063-239-2767~69,35.7966568,127.1316371
고사동 전주영화제작소 옆,14면,24시간,무료,무료,전주시 완산구 전주객사3길 22(고사동435-2),063-239-2767~69,35.8178948,127.1425553
서서학동 주민자치센터 뒤,16면,24시간,무료,무료,전주시 완산구 팔달로 39-21(서서학동 121-1),063-239-2767~69,35.8259252,127.1444612
서학동 예술마을,27면,24시간,무료,무료,전주시 완산구 서서학동 967번지,063-239-2767~69,35.7966033,127.1494774
한옥마을4 공영주차장(대성동),636면,24시간,무료,무료,전주시 완산구 춘향로 5299,063-239-2767~69,35.7991380,127.1785771
인후2동 금평,26면,24시간,무료,무료,전주시 덕진구 명주1길 9,063-239-2767~69,35.8421362,127.1456787
인후2동 용수마을,11면,24시간,무료,무료,전주시 덕진구 거북바우로 124-15(용수마을),063-239-2767~69,35.8409760,127.1450744
인후2동,15면,24시간,무료,무료,전주시 덕진구 거북바우로 142,063-239-2767~69,35.8409760,127.1450744
인후1동 안골,32면,24시간,무료,무료,전주시 덕진구 팽나무4길 11,063-239-2767~69,35.8344107,127.1546790
도당산4길,13면,24시간,무료,무료,전주시 덕진구 우아동3가 752-29,063-239-2767~69,35.8485400,127.1593500
아중지구 아중도서관(산림청 옆),62면,24시간,무료,무료,전주시 덕진구 무삼지2길 7,063-239-2767~69,35.8263423,127.1625773
인후3동 진버들,88면,24시간,무료,무료,전주시 덕진구 진버들5길 15,063-239-2767~69,35.8365022,127.1648938
아중지구 롯데아파트 옆,70면,24시간,무료,무료,전주시 덕진구 정언신로 151,063-239-2767~69,35.8313431,127.1704208
아중지구 밀레니엄 옆,73면,24시간,무료,무료,전주시 덕진구 정언신로 178,063-239-2767~69,35.8313431,127.1704208
남노송동 주차장(기린대로변),25면,24시간,무료,무료,전주시 완산구 기린대로 126,063-239-2767~69,35.8173366,127.1552401
남노송동(병무청 맞은편),20면,24시간,무료,무료,전주시 완산구 관선3길 17-6,063-239-2767~69,35.8211897,127.1561833
아중지구 부영아파트 옆,88면,24시간,무료,무료,전주시 덕진구 인교6길 13,063-239-2767~69,35.8249092,127.1708780
다가서당,13면,24시간,무료,무료,전주시 완산구 다가동4가 25번지 외 4필지,063-239-2767~69,35.8199300,127.1387056
서학동 예술마을 소규모주차장,17면,24시간,무료,무료,전주시 완산구 서서학동 244일원,063-239-2767~69,35.7966033,127.1494774
우아동 주민센터 옆,28면,24시간,무료,무료,전주시 덕진구 우아동3가 746-45,063-239-2767~69,35.8485400,127.1593500
효천지구 제2주차장,83면,24시간,무료,무료,전주시 완산구 효자동2가 1369-1,063-239-2767~69,35.8068278,127.0993165
효천지구 제4주차장,33면,24시간,무료,무료,전주시 완산구 효자동2가 1371-1,063-239-2767~69,35.8068278,127.0993165
효천지구 제5주차장,51면,24시간,무료,무료,전주시 완산구 삼천동2가 762-1,063-239-2767~69,35.7852328,127.1004814
여의동 주민센터 옆,26면,24시간,무료,무료,전주시 덕진구 반월동 248-31,063-239-2767~69,35.8784723,127.0695485
풍남초 주차장,28면,24시간,무료,무료,전주시 완산구 중노송동 501-6,063-239-2767~69,35.8249552,127.1569569
하가지구 상가마을 주차장,19면,24시간,무료,무료,전주시 덕진구 덕진동2가 440,063-239-2767~69,35.8453600,127.1139270
효자2동 주차장,21면,24시간,무료,무료,전주시 완산구 효자동1가 608-1,063-239-2767~69,35.8061952,127.1228625
